happiness_rank,country,happiness_score,economy,health,freedom,generosity,corruption
154,Afghanistan,3.2030,0.3500,0.3610,0.0000,0.1580,0.0250
107,Albania,4.7190,0.9470,0.8740,0.3830,0.1780,0.0270
88,Algeria,5.2110,1.0020,0.7850,0.0860,0.0730,0.1140
47,Argentina,6.0860,1.0920,0.8810,0.4710,0.0660,0.0500
116,Armenia,4.5590,0.8500,0.8150,0.2830,0.0950,0.0640
11,Australia,7.2280,1.3720,1.0360,0.5570,0.3320,0.2900
10,Austria,7.2460,1.3760,1.0160,0.5320,0.2440,0.2260
90,Azerbaijan,5.2080,1.0430,0.7690,0.3510,0.0350,0.1820
37,Bahrain,6.1990,1.3620,0.8710,0.5360,0.2550,0.1100
125,Bangladesh,4.4560,0.5620,0.7230,0.5270,0.1660,0.1430
81,Belarus,5.3230,1.0670,0.7890,0.2350,0.0940,0.1420
18,Belgium,6.9230,1.3560,0.9860,0.4730,0.1600,0.2100
102,Benin,4.8830,0.3930,0.3970,0.3490,0.1750,0.0820
95,Bhutan,5.0820,0.8130,0.6040,0.4570,0.3700,0.1670
61,Bolivia,5.7790,0.7760,0.7060,0.5110,0.1370,0.0640
78,Bosnia and Herzegovina,5.3860,0.9450,0.8450,0.2120,0.2630,0.0060
148,Botswana,3.4880,1.0410,0.5380,0.4550,0.0250,0.1000
32,Brazil,6.3000,1.0040,0.8020,0.3900,0.0990,0.0860
97,Bulgaria,5.0110,1.0920,0.8150,0.3110,0.0810,0.0040
115,Burkina Faso,4.5870,0.3310,0.3800,0.2550,0.1770,0.1130
145,Burundi,3.7750,0.0460,0.3800,0.2200,0.1760,0.1800
109,Cambodia,4.7000,0.5740,0.6370,0.6090,0.2320,0.0620
96,Cameroon,5.0440,0.5490,0.3310,0.3810,0.1870,0.0370
9,Canada,7.2780,1.3650,1.0390,0.5840,0.2850,0.3080
132,Chad,4.3500,0.3500,0.1920,0.1740,0.1980,0.0780
26,Chile,6.4440,1.1590,0.9200,0.3570,0.1870,0.0560
93,China,5.1910,1.0290,0.8930,0.5210,0.0580,0.1000
43,Colombia,6.1250,0.9850,0.8410,0.4700,0.0990,0.0340
103,Congo (Brazzaville),4.8120,0.6730,0.5080,0.3720,0.1050,0.0930
127,Congo (Kinshasa),4.4180,0.0940,0.3570,0.2690,0.2120,0.0530
12,Costa Rica,7.1670,1.0340,0.9630,0.5580,0.1440,0.0930
75,Croatia,5.4320,1.1550,0.9140,0.2960,0.1190,0.0220
49,Cyprus,6.0460,1.2630,1.0420,0.4060,0.1900,0.0410
20,Czech Republic,6.8520,1.2690,0.9200,0.4570,0.0460,0.0360
