country,lat,lng,location
Afghanistan,33.93911,67.709953,"33.93911, 67.709953"
Albania,41.153332,20.168331,"41.153332, 20.168331"
Algeria,28.033886,1.659626,"28.033886, 1.659626"
Argentina,-38.416097,-63.616672,"-38.416097, -63.6166719999999"
Armenia,40.069099,45.038189,"40.069099, 45.038189"
Australia,-25.274398,133.775136,"-25.274398, 133.775136"
Austria,47.516231,14.550072,"47.516231, 14.550072"
Azerbaijan,40.143105,47.576927,"40.143105, 47.576927"
Bahrain,26.0667,50.5577,"26.0667, 50.5577"
Bangladesh,23.684994,90.356331,"23.684994, 90.356331"
Belarus,53.709807,27.953389,"53.709807, 27.953389"
Belgium,50.503887,4.469936,"50.503887, 4.469936"
Benin,9.30769,2.315834,"9.30769, 2.315834"
Bhutan,27.514162,90.433601,"27.514162, 90.433601"
Bolivia,-16.290154,-63.588653,"-16.290154, -63.5886529999999"
Bosnia and Herzegovina,43.915886,17.679076,"43.915886, 17.679076"
Botswana,-22.328474,24.684866,"-22.328474, 24.684866"
Brazil,-14.235004,-51.92528,"-14.235004, -51.92528"
Bulgaria,42.733883,25.48583,"42.733883, 25.48583"
Burkina Faso,12.238333,-1.561593,"12.238333, -1.561593"
Burundi,-3.373056,29.918886,"-3.373056, 29.918886"
Cambodia,12.565679,104.990963,"12.565679, 104.990963"
Cameroon,7.369722,12.354722,"7.36972199999999, 12.354722"
Canada,56.130366,-106.346771,"56.130366, -106.346771"
Chad,15.454166,18.732207,"15.454166, 18.732207"
Chile,-35.675147,-71.542969,"-35.675147, -71.542969"
China,35.86166,104.195397,"35.86166, 104.195397"
Colombia,4.570868,-74.297333,"4.570868, -74.297333"
Congo (Brazzaville),-4.2633597,15.2428853,"-4.2633597, 15.2428853"
Congo (Kinshasa),-4.038333,21.758664,"-4.038333, 21.758664"
Costa Rica,9.748917,-83.753428,"9.74891699999999, -83.753428"
Croatia,45.1,15.2000001,"45.1, 15.2000001"
Cyprus,35.126413,33.429859,"35.126413, 33.429859"
Czech Republic,49.817492,15.472962,"49.8174919999999, 15.472962"
Denmark,56.26392,9.501785,"56.26392, 9.501785"
Dominican Republic,18.735693,-70.162651,"18.735693, -70.162651"
Ecuador,-1.831239,-78.183406,"-1.831239, -78.1834059999999"
Egypt,26.820553,30.802498,"26.820553, 30.802498"
El Salvador,13.794185,-88.89653,"13.794185, -88.89653"
Estonia,58.595272,25.0136071,"58.595272, 25.0136071"
Ethiopia,9.145,40.489673,"9.145, 40.489673"
Finland,61.92411,25.7481511,"61.9241099999999, 25.7481511"
France,46.227638,2.213749,"46.227638, 2.213749"
Gabon,-0.803689,11.609444,"-0.803689, 11.609444"
Georgia,32.1656221,-82.9000751,"32.1656221, -82.9000751"
Germany,51.165691,10.451526,"51.165691, 10.451526"
Ghana,7.946527,-1.023194,"7.946527, -1.023194"
Greece,39.074208,21.824312,"39.074208, 21.824312"
Guatemala,15.783471,-90.230759,"15.783471, -90.2307589999999"
Guinea,9.945587,-9.696645,"9.945587, -9.696645"
Haiti,18.971187,-72.285215,"18.971187, -72.285215"
Honduras,15.199999,-86.241905,"15.199999, -86.241905"
Hong Kong,22.3193039,114.1693611,"22.3193039, 114.1693611"
Hungary,47.162494,19.5033041,"47.162494, 19.5033041"
Iceland,64.963051,-19.020835,"64.963051, -19.020835"
India,20.593684,78.96288,"20.593684, 78.96288"
Indonesia,-0.789275,113.921327,"-0.789275, 113.921327"
Iran,32.427908,53.688046,"32.427908, 53.688046"
Iraq,33.223191,43.679291,"33.223191, 43.679291"
Ireland,53.1423672,-7.6920536,"53.1423672, -7.69205359999999"
Israel,31.046051,34.851612,"31.046051, 34.851612"
Italy,41.87194,12.56738,"41.87194, 12.56738"
Ivory Coast,7.539989,-5.54708,"7.53998899999999, -5.54707999999999"
Jamaica,18.109581,-77.297508,"18.109581, -77.297508"
Japan,36.204824,138.252924,"36.204824, 138.252924"
Jordan,36.1500042,-95.9882368,"36.1500042, -95.9882368"
Kazakhstan,48.019573,66.923684,"48.019573, 66.923684"
Kenya,-0.023559,37.906193,"-0.023559, 37.906193"
Kosovo,42.6026359,20.902977,"42.6026359, 20.902977"
Kuwait,29.31166,47.481766,"29.31166, 47.481766"
Kyrgyzstan,41.20438,74.766098,"41.20438, 74.766098"
Latvia,56.879635,24.603189,"56.879635, 24.603189"
Lebanon,33.854721,35.862285,"33.854721, 35.862285"
Liberia,6.428055,-9.429499,"6.428055, -9.429499"
Libya,26.3351,17.228331,"26.3351, 17.228331"
Lithuania,55.169438,23.881275,"55.169438, 23.881275"
Luxembourg,49.815273,6.129583,"49.815273, 6.12958299999999"
Madagascar,-18.766947,46.869107,"-18.766947, 46.869107"
Malawi,-13.254308,34.301525,"-13.254308, 34.301525"
Malaysia,4.210484,101.975766,"4.210484, 101.975766"
Mali,17.570692,-3.996166,"17.570692, -3.996166"
Malta,35.937496,14.375416,"35.937496, 14.375416"
